id,name,salary,location,work-type
1,Softwareentwickler - C++ / MCOSMOS / 3D-Plots (m/w/d)- job post,90.000 € pro Jahr,78727 Oberndorf am Neckar,Vollzeit
2,Softwareentwicklerin / Softwareentwickler Luftwaffe (m/w/d)- job post,2.320 € – 3.873 € pro Monat,Deutschland,Vollzeit
3,Softwareentwickler DCPA / Cobol (w/m/d) in full remote- job post,55.000 € – 75.000 € pro Jahr,Homeoffice
4,Softwareentwickler - OpenSSL-Wrapper-Bibliothek und C/C++ (m/w/d)- job post,80.000 € – 105.000 € pro Jahr,Homeoffice
5,Softwareentwickler oder Anwendungsentwickler (m/w/d)- job post,Ab 36.000 € pro Jahr,Dortmund•Hybrides Arbeiten,Vollzeit
6,(Junior) Programmierer*in / Softwareentwickler*in (m/w/d)- job post,3.000 € – 4.500 € pro Monat,51063 Köln,Festanstellung
7,Softwareentwickler ERP- job post,30.000 € – 60.000 € pro Jahr,06773 Gräfenhainichen•Hybrides Arbeiten,Überstunden
8,TypeScript Backend Developer (m/w/d) - Remote- job post,60.000 € – 72.000 € pro Jahr,Homeoffice,Vollzeit
9,Softwareentwickler (m/w/d)- job post,2.700 € – 3.900 € pro Monat,70372 Stuttgart,Festanstellung
10,Java Softwareentwickler (m/w/d)- job post,60.000 € – 75.000 € pro Jahr,Homeoffice,Vollzeit
11,Softwareentwickler Java - Cloud-Migration / Quarkus / Spring Boot (m/w/d)- job post,69.000 € pro Jahr,76133 Karlsruhe,Vollzeit
12,Softwareentwickler C# - Homeoffice (m/w/d)- job post,42.000 € – 50.000 € pro Jahr,Homeoffice,Festanstellung
13,Softwareentwickler (m/w/d)- job post,3.000 € – 6.300 € pro Monat,Homeoffice,Vollzeit
14,Softwareentwickler - Künstliche Intelligenz (KI) (m/w/d)- job post,55.000 € pro Jahr,76133 Karlsruhe,Vollzeit
15,Softwareentwickler für ein IT Start-up (m/w/d)- job post,1.000 € pro Woche,70567 Stuttgart,Vollzeit
16,C# Softwareentwickler (m/w/d)- job post,40.000 € – 55.000 € pro Jahr,Ransbach-Baumbach•Homeoffice,Festanstellung
17,Softwareentwickler Embedded (m/w/d)- job post,45.000 € – 58.000 € pro Jahr,Glauchau,Vollzeit
18,Softwareentwickler (m/w/d) C++ / CAD / BIM Software- job post,Bis zu 70.000 € pro Jahr,München,Festanstellung
19,Softwareentwickler - C++ / MCOSMOS / 3D-Plots (m/w/d)- job post,90.000 € pro Jahr,78727 Oberndorf am Neckar,Vollzeit
20,Softwareentwickler - C# / Agile / Code (m/w/d)- job post,90.000 € pro Jahr,78727 Oberndorf am Neckar,Vollzeit
21,Senior Full Stack Softwareentwickler/in (m/f/d)- job post,70.000 € – 100.000 € pro Jahr,Homeoffice
22,Softwareentwickler Delphi - Delphi XE / MS SQL / Scrum (m/w/d)- job post,70.000 € pro Jahr,75233 Tiefenbronn,Vollzeit
23,Softwarearchitekt / Senior Software Developer / Softwareentwickler (M/W/D)- job post,55.000 € – 95.000 € pro Jahr,Homeoffice,Teilzeit
24,Softwareentwickler für ein IT Start-up (m/w/d)- job post,1.000 € pro Woche,70567 Stuttgart,Vollzeit
25,Softwareentwickler Java (m/w/d)- job post,60.000 € – 75.000 € pro Jahr,Düsseldorf,Vollzeit
26,Softwareentwickler (m/w/d)- job post,48.000 € – 60.000 € pro Jahr,Chemnitz,Vollzeit
27,Senior Softwareentwickler für die Produktentwicklung(m/w/d) - C#/ SQL/ HTML- job post,1.000 € pro Woche,70567 Stuttgart,Vollzeit
28,Softwareentwickler*in Full-Stack- job post,55.000 € pro Jahr,79110 Freiburg•Hybrides Arbeiten,Vollzeit
29,Softwareentwickler - Mobile Apps / ASP NET Core / JavaScript Frameworks / CSS (m/w/d)- job post,75.000 € pro Jahr,82008 Unterhaching,Vollzeit
30,Softwareentwickler Embedded (m/w/d)- job post,45.000 € – 58.000 € pro Jahr,Glauchau,Vollzeit
31,Softwareentwickler (m/w/d)- job post,48.000 € – 60.000 € pro Jahr,Chemnitz,Vollzeit
32,Software Developer C++/Qt (m/w/d)- job post,45.000 € – 50.000 € pro Jahr,Berlin,Vollzeit
33,Softwareentwickler*in Java (m/w/d)- job post,60.000 € – 80.000 € pro Jahr,Homeoffice,Teilzeit
34,Softwareentwickler - Mobile Apps / ASP NET Core / JavaScript Frameworks / CSS (m/w/d)- job post,75.000 € pro Jahr,82008 Unterhaching,Vollzeit
35,Softwareentwickler Java (m/w/d)- job post,60.000 € – 75.000 € pro Jahr,Düsseldorf,Vollzeit
36,Backend Softwareentwickler (m/w/d)- job post,50.000 € – 75.000 € pro Jahr,Homeoffice,Festanstellung
37,Softwareentwickler (m/w/d)- job post,48.000 € – 60.000 € pro Jahr,Chemnitz,Vollzeit
38,Softwareentwickler (m/w/d) mit Schwerpunkt Full-Stack-Web-Development in München- job post,Bis zu 70.000 € pro Jahr,80469 München,Vollzeit
39,Softwareentwickler (m/w/d) PHP/HTML/CSS/JavaSript- job post,50.000 € – 80.000 € pro Jahr,Lüneburg•Hybrides Arbeiten,Vollzeit
40,Software Developer C++/Qt (m/w/d)- job post,45.000 € – 50.000 € pro Jahr,Berlin,Vollzeit
41,"Qt, QML, C++ Softwareentwickler (m/w/d)- job post",40.000 € – 80.000 € pro Jahr,80333 München,Festanstellung
42,Softwareentwickler Embedded (m/w/d)- job post,45.000 € – 58.000 € pro Jahr,Glauchau,
43,Softwareentwickler C# m/w/d- job post,Bis zu 85.000 € pro Jahr,80331 München,Vollzeit
44,Softwareentwickler Embedded (m/w/d)- job post,45.000 € – 58.000 € pro Jahr,Glauchau,Vollzeit
45,Softwareentwickler (m/w/d)- job post,48.000 € – 60.000 € pro Jahr,Chemnitz,Vollzeit
46,Softwareentwickler / Programmierer / Softwareingenieur (m/w/d)- job post,4.800 € – 5.000 € pro Monat,10178 Berlin•Hybrides Arbeiten,Festanstellung
47,Softwareentwickler - Mobile Apps / ASP NET Core / JavaScript Frameworks / CSS (m/w/d)- job post,75.000 € pro Jahr,82008 Unterhaching,Vollzeit
48,Softwareentwickler - C++ / MCOSMOS / 3D-Plots (m/w/d)- job post,90.000 € pro Jahr,78727 Oberndorf am Neckar,Vollzeit
49,Softwareentwickler (m/w/d) Automatisierungstechnik- job post,60.000 € – 85.000 € pro Jahr,77709 Wolfach,Festanstellung
50,Softwareentwickler (m/w/d)- job post,48.000 € – 60.000 € pro Jahr,Chemnitz,Vollzeit
51,Software Developer C++/Qt (m/w/d)- job post,45.000 € – 50.000 € pro Jahr,Berlin,Vollzeit
52,Softwareentwickler Frontend | Schwerpunkt Vue.JS (m/w/d) - remote / hybrid- job post,Ab 45.000 € pro Jahr,30175 Hannover•Homeoffice,Festanstellung
53,Softwareentwickler - Mobile Apps / ASP NET Core / JavaScript Frameworks / CSS (m/w/d)- job post,75.000 € pro Jahr,82008 Unterhaching,Vollzeit
54,Softwareentwickler - C++ / MCOSMOS / 3D-Plots (m/w/d)- job post,90.000 € pro Jahr,78727 Oberndorf am Neckar,Vollzeit
55,Software Developer C++/Qt (m/w/d)- job post,45.000 € – 50.000 € pro Jahr,Berlin,Vollzeit
56,Softwareentwickler C# (m/w/d)- job post,48.000 € – 70.000 € pro Jahr,Filderstadt
57,Softwareentwickler Backend C# (ALL) - ILSFELD- job post,50.000 € – 70.000 € pro Jahr,Ilsfeld•Hybrides Arbeiten,Festanstellung
58,Softwareentwickler (m/w/d)- job post,48.000 € – 60.000 € pro Jahr,Chemnitz,Vollzeit
59,Softwareentwickler/-in (m/w/d)- job post,30.000 € – 60.000 € pro Jahr,25746 Heide,Vollzeit
60,Senior Softwareentwickler (m/w/d)- job post,60.000 € – 70.000 € pro Jahr,Braunschweig,Vollzeit
61,Softwareentwickler - Mobile Apps / ASP NET Core / JavaScript Frameworks / CSS (m/w/d)- job post,,82008 Unterhaching,
62,Softwareentwickler Embedded (m/w/d)- job post,45.000 € – 58.000 € pro Jahr,Glauchau,Vollzeit
63,Software Developer - Anlagensteuerung / IT-Support / Frontend (m/w/d)- job post,57.500 € pro Jahr,32312 Lübbecke,Vollzeit
64,Softwareentwickler - C++ / MCOSMOS / 3D-Plots (m/w/d)- job post,90.000 € pro Jahr,78727 Oberndorf am Neckar,Vollzeit
65,Softwareentwickler | Backend | php (w/m/d) | remote & hybrid- job post,Ab 42.000 € pro Jahr,30175 Hannover•Homeoffice,Vollzeit
66,Softwareentwickler Java (m/w/d)- job post,60.000 € – 75.000 € pro Jahr,Düsseldorf,Vollzeit
67,Softwareentwickler Embedded (m/w/d)- job post,45.000 € – 58.000 € pro Jahr,Glauchau,Vollzeit
68,.NET Software Developer (gn) 100% HomeOffice möglich- job post,2.000 € pro Monat,Homeoffice,Vollzeit
69,Software Developer - Anlagensteuerung / IT-Support / Frontend (m/w/d)- job post,57.500 € pro Jahr,32312 Lübbecke,Vollzeit
70,Softwareentwickler (m/w/d)- job post,48.000 € – 60.000 € pro Jahr,Chemnitz,Vollzeit
71,Softwareentwickler (m/w/d)- job post,40.000 € – 60.000 € pro Jahr,78713 Schramberg•Hybrides Arbeiten,Vollzeit
72,Softwareentwickler Embedded m/w/d- job post,54.000 € – 60.000 € pro Jahr,Korbach,Arbeitnehmerüberlassung
73,Junior Software-Entwickler C#/.NET (m/w/d)- job post,400 € pro Tag,63571 Gelnhausen•Hybrides Arbeiten,Vollzeit
74,Software Developer C++/Qt (m/w/d)- job post,45.000 € – 50.000 € pro Jahr,Berlin,
